title,genres,original_language,release_date,popularity,budget,revenue,runtime,vote_average,vote_count,status,release_year
Run Lola Run,Action|Drama|Thriller,de,1998-08-20,27.36562,1530000,7267585,81.0,7.2,664,Released,1998.0
Simon Birch,Comedy|Drama|Family,en,1998-09-11,11.090254,20000000,18253415,114.0,6.5,52,Released,1998.0
Six Days Seven Nights,Action|Adventure|Comedy|Romance,en,1998-06-12,18.264635,70000000,164000000,98.0,5.6,332,Released,1998.0
Slums of Beverly Hills,Comedy|Drama,en,1998-08-14,6.308298,5000000,0,91.0,6.5,44,Released,1998.0
Stepmom,Drama|Romance,en,1998-12-25,16.368283,0,0,124.0,6.9,277,Released,1998.0
The Celebration,Drama,da,1998-05-20,10.240917,1300000,0,105.0,7.7,207,Released,1998.0
The Last Big Thing,Comedy|Drama,en,1998-09-23,0.678475,0,0,98.0,6.0,3,Released,1998.0
The Thin Red Line,Drama|History|War,en,1998-12-25,40.072583,52000000,98126565,170.0,7.2,771,Released,1998.0
The X Files,Mystery|Science Fiction|Thriller,en,1998-06-19,18.59991,66000000,189198313,121.0,6.6,488,Released,1998.0
There's Something About Mary,Romance|Comedy,en,1998-07-15,57.110486,23000000,369884651,119.0,6.5,1590,Released,1998.0
Vampires,Action|Drama|Fantasy|Horror|Thriller,en,1998-04-15,17.016284,20000000,0,108.0,5.8,255,Released,1998.0
Without Limits,Drama,en,1998-09-11,3.849873,25000000,777423,117.0,6.2,19,Released,1998.0
An Ideal Husband,Drama|Comedy|Romance,en,1999-04-15,4.519523,14000000,18535191,97.0,6.3,46,Released,1999.0
Angela's Ashes,Drama,en,1999-12-25,4.88794,25,13,145.0,7.0,59,Released,1999.0
Blast from the Past,Comedy|Romance,en,1999-02-12,8.737058,35000000,40263020,112.0,6.3,245,Released,1999.0
Bowfinger,Comedy,en,1999-08-12,13.191829,55000000,0,97.0,6.0,254,Released,1999.0
Boys Don't Cry,Crime|Drama,en,1999-09-02,15.557144,2000000,11540607,118.0,7.2,353,Released,1999.0
Bringing Out the Dead,Drama,en,1999-10-22,15.560918,32000000,0,121.0,6.6,225,Released,1999.0
Chill Factor,Action|Comedy|Thriller,en,1999-09-01,3.276912,70000000,11263966,101.0,5.3,29,Released,1999.0
Deep Blue Sea,Action|Science Fiction|Thriller,en,1999-07-28,22.991269,60000000,73648228,105.0,5.6,604,Released,1999.0
Desert Blue,Comedy|Drama,en,1999-06-06,1.116206,0,0,90.0,5.5,9,Released,1999.0
Detroit Rock City,Comedy|Music,en,1999-08-13,5.700333,6500000,4217115,95.0,6.7,100,Released,1999.0
Dogma,Fantasy|Comedy|Adventure,en,1999-11-12,14.543435,10000000,30652890,130.0,6.8,823,Released,1999.0
Drop Dead Gorgeous,Comedy,en,1999-07-23,6.736274,10000000,10571408,98.0,6.4,86,Released,1999.0
East Is East,Comedy,en,1999-05-14,3.667372,3800000,28200000,97.0,6.5,59,Released,1999.0
End of Days,Action|Fantasy|Horror|Mystery,en,1999-11-24,20.652943,100000000,211989043,121.0,5.5,482,Released,1999.0
Entrapment,Romance|Drama|Mystery,en,1999-04-29,25.877794,66000000,212404396,112.0,6.0,602,Released,1999.0
Eyes Wide Shut,Mystery|Drama,en,1999-07-14,27.870312,65000000,162091208,159.0,7.1,1234,Released,1999.0
Fantasia 2000,Animation|Family|Music,en,1999-12-17,14.530946,80000000,90874570,74.0,7.0,292,Released,1999.0
Flawless,Comedy|Drama,en,1999-11-26,5.271559,0,4488529,112.0,5.9,56,Released,1999.0
For Love of the Game,Drama|Romance,en,1999-09-17,9.622345,50000000,0,137.0,6.3,88,Released,1999.0
Galaxy Quest,Comedy|Family|Science Fiction,en,1999-12-23,30.816341,45000000,90683916,102.0,6.9,710,Released,1999.0
"Girl, Interrupted",Drama,en,1999-12-21,10.713521,40000000,0,127.0,7.6,721,Released,1999.0
Godzilla 2000,Adventure|Horror|Action|Science Fiction,ja,1999-12-11,3.322721,1000000,10037390,107.0,5.9,43,Released,1999.0
"Happy, Texas",Comedy|Crime,en,1999-12-03,2.079125,1700000,1943649,98.0,5.5,39,Released,1999.0
Held Up,Comedy,en,1999-10-08,1.569449,0,0,89.0,4.9,11,Released,1999.0
Mystery Men,Adventure|Fantasy|Action|Comedy|Science Fiction,en,1999-08-06,12.948627,68000000,29762011,121.0,5.7,250,Released,1999.0
Random Hearts,Drama|Romance,en,1999-10-08,4.137237,64000000,74608570,133.0,5.3,63,Released,1999.0
Runaway Bride,Comedy|Romance,en,1999-07-30,20.230535,70000000,309457509,116.0,5.7,455,Released,1999.0
Smiling Fish & Goat On Fire,Comedy|Romance,en,1999-09-16,0.00734,0,0,90.0,7.0,1,Released,1999.0
Star Wars: Episode I - The Phantom Menace,Adventure|Action|Science Fiction,en,1999-05-19,54.035265,115000000,924317558,136.0,6.3,4432,Released,1999.0
Sugar Town,Comedy,en,1999-09-17,0.375423,0,0,92.0,5.5,2,Released,1999.0
Summer of Sam,Thriller|Drama|Crime|Romance,en,1999-07-02,3.70789,0,0,142.0,6.3,112,Released,1999.0
The Best Man,Drama|Comedy,en,1999-10-22,3.951041,9000000,34573780,120.0,6.8,38,Released,1999.0
The Iron Giant,Adventure|Animation|Family|Fantasy|Science Fiction,en,1999-08-06,61.245957,70000000,23159305,86.0,7.6,1436,Released,1999.0
The Omega Code,Horror|Thriller,en,1999-10-15,1.288173,0,2400000,100.0,4.4,17,Released,1999.0
The Other Conquest,Drama|Foreign,es,1999-04-01,0.015597,0,0,105.0,5.4,4,Released,1999.0
The Straight Story,Drama,en,1999-10-15,15.280261,10000000,0,112.0,7.7,306,Released,1999.0
The Thomas Crown Affair,Drama|Crime|Romance,en,1999-08-06,18.102572,48000000,124305181,113.0,6.6,339,Released,1999.0
Tumbleweeds,Comedy|Drama,en,1999-11-28,1.505703,312000,1281176,102.0,6.2,11,Released,1999.0
Wild Wild West,Action|Adventure|Comedy|Science Fiction|Western,en,1999-06-29,40.748915,170000000,222104681,106.0,5.1,1020,Released,1999.0
102 Dalmatians,Comedy|Family,en,2000-10-07,9.895061,85000000,183611771,100.0,5.1,313,Released,2000.0
3 Strikes,Action|Comedy|Romance,en,2000-03-01,1.433692,6000000,9000000,82.0,5.9,15,Released,2000.0
Almost Famous,Drama|Music,en,2000-09-15,21.547446,60000000,47383689,122.0,7.4,797,Released,2000.0
American Psycho,Thriller|Drama|Crime,en,2000-04-13,45.310443,7000000,34266564,102.0,7.3,2066,Released,2000.0
Bamboozled,Comedy|Drama,en,2000-10-06,2.23411,0,0,135.0,6.3,24,Released,2000.0
Bless the Child,Drama|Horror|Thriller|Crime,en,2000-08-11,3.321949,40000000,0,107.0,4.9,71,Released,2000.0
Boys and Girls,Comedy|Drama|Romance,en,2000-06-16,9.119797,16000000,20627372,94.0,5.4,103,Released,2000.0
Charlie's Angels,Action|Adventure|Comedy|Crime|Thriller,en,2000-11-02,40.20395,92000000,264105545,98.0,5.6,1232,Released,2000.0
Deterrence,Action|Drama|Mystery|Thriller,en,2000-03-10,2.171288,0,0,101.0,6.1,7,Released,2000.0
Dracula 2000,Thriller|Horror,en,2000-12-22,6.756771,28000000,33000337,99.0,4.6,148,Released,2000.0
Get Carter,Action|Drama|Thriller|Crime,en,2000-10-06,4.494788,63600000,19412993,102.0,4.8,145,Released,2000.0
Gladiator,Action|Drama|Adventure,en,2000-05-01,95.301296,103000000,457640427,155.0,7.9,5439,Released,2000.0
Gossip,Drama|Mystery|Thriller,en,2000-04-21,5.833687,14000000,5108820,90.0,5.5,68,Released,2000.0
Hanging Up,Comedy|Drama,en,2000-02-16,3.415534,40000000,36037909,94.0,5.0,40,Released,2000.0
Hollow Man,Action|Science Fiction|Thriller,en,2000-08-04,28.200874,95000000,190213455,112.0,5.6,634,Released,2000.0
How the Grinch Stole Christmas,Family|Comedy|Fantasy,en,2000-11-17,45.419668,123000000,345141403,104.0,6.2,1386,Released,2000.0
Little Nicky,Comedy|Fantasy|Romance,en,2000-11-10,18.335992,85000000,0,90.0,5.2,438,Released,2000.0
Love & Basketball,Action|Comedy|Drama|Romance,en,2000-04-21,2.027393,20000000,27728118,124.0,7.4,88,Released,2000.0
Meet the Parents,Comedy|Romance,en,2000-10-06,29.97224,55000000,330444045,108.0,6.6,1698,Released,2000.0
Mercy Streets,Action|Adventure|Drama,en,2000-10-31,0.099902,0,0,106.0,5.5,2,Released,2000.0
Michael Jordan to the Max,Documentary,en,2000-05-05,1.830306,0,21268532,46.0,7.5,10,Released,2000.0
Miss Congeniality,Comedy|Crime|Action,en,2000-12-14,32.624355,45000000,212000000,111.0,6.1,961,Released,2000.0
Mission to Mars,Science Fiction,en,2000-03-10,16.058284,90000000,60874615,114.0,5.7,369,Released,2000.0
My Dog Skip,Comedy|Drama|Family,en,2000-01-14,5.675535,7000000,0,95.0,6.5,69,Released,2000.0
Next Friday,Comedy,en,2000-01-12,9.337388,11000000,59827328,98.0,6.4,135,Released,2000.0
"O Brother, Where Art Thou?",Action|Adventure|Comedy,en,2000-08-30,39.742009,26000000,71868327,106.0,7.3,1112,Released,2000.0
Quills,Drama,en,2000-11-22,7.261196,13500000,7060876,124.0,6.8,128,Released,2000.0
Reindeer Games,Thriller,en,2000-02-25,11.470135,42000000,32168970,124.0,5.4,173,Released,2000.0
Return to Me,Romance|Comedy|Drama,en,2000-04-07,5.771479,24000000,36609995,115.0,6.1,67,Released,2000.0
Shanghai Noon,Adventure|Action|Comedy|Western,en,2000-05-26,25.400935,55000000,56932305,110.0,6.2,735,Released,2000.0
Small Time Crooks,Action|Comedy|Crime,en,2000-05-19,11.423533,0,0,94.0,6.4,155,Released,2000.0
The Cell,Horror|Science Fiction|Thriller,en,2000-08-17,25.413955,33000000,104155843,107.0,6.0,436,Released,2000.0
The Claim,Drama|Romance|Western,en,2000-12-29,2.996284,0,0,120.0,5.6,17,Released,2000.0
The Emperor's New Groove,Adventure|Animation|Comedy|Family|Fantasy,en,2000-12-09,51.113717,100000000,169327687,78.0,7.2,1490,Released,2000.0
The In Crowd,Thriller,en,2000-07-19,0.249245,15000000,5217498,105.0,4.7,15,Released,2000.0
The Legend of Bagger Vance,Fantasy|Drama,en,2000-11-02,16.848899,80000000,39459427,126.0,6.3,251,Released,2000.0
The Little Vampire,Family|Horror,en,2000-10-27,4.365196,22000000,13555988,95.0,6.1,77,Released,2000.0
The Next Best Thing,Comedy,en,2000-03-03,3.707511,25000000,24362772,108.0,4.3,29,Released,2000.0
The Perfect Storm,Drama,en,2000-03-15,25.752118,120000000,325756637,130.0,6.2,597,Released,2000.0
The Watcher,Mystery|Thriller,en,2000-09-08,7.339908,33000000,0,96.0,4.9,110,Released,2000.0
The Way of the Gun,Action|Crime|Drama|Thriller,en,2000-09-08,8.775844,8500000,19125401,119.0,6.4,100,Released,2000.0
The Whole Nine Yards,Comedy|Crime,en,2000-02-18,23.441135,41300000,106371651,98.0,6.2,531,Released,2000.0
U-571,Action|Drama|Thriller|War,en,2000-04-20,18.096884,62000000,127666415,116.0,6.1,340,Released,2000.0
Urban Legends: Final Cut,Horror,en,2000-09-19,8.885017,14000000,38574362,97.0,4.4,100,Released,2000.0
What Planet Are You From?,Comedy|Drama|Romance|Science Fiction,en,2000-03-03,2.275331,60000000,0,105.0,5.4,37,Released,2000.0
Whipped,Comedy|Romance,en,2000-09-01,2.144354,3000000,0,82.0,3.1,11,Released,2000.0
Wonder Boys,Comedy|Drama,en,2000-02-22,9.011729,35000000,0,111.0,6.9,161,Released,2000.0
X-Men,Adventure|Action|Science Fiction,en,2000-07-13,4.66891,75000000,296339527,104.0,6.8,4097,Released,2000.0
3000 Miles to Graceland,Action|Adventure|Comedy|Thriller|Crime,en,2001-02-23,11.262655,62000000,18720175,125.0,5.8,178,Released,2001.0
Along Came a Spider,Crime|Mystery|Thriller|Action,en,2001-04-06,21.252797,60000000,105178561,104.0,6.1,400,Released,2001.0
American Desi,Drama|Comedy|Romance,en,2001-01-01,0.126304,250000,0,100.0,5.0,4,Released,2001.0
American Pie 2,Comedy|Romance,en,2001-08-10,36.432598,30000000,287553595,108.0,6.0,1344,Released,2001.0
Bandits,Action|Comedy|Crime|Romance,en,2001-10-12,24.353302,75000000,67631903,123.0,6.2,302,Released,2001.0
Brigham City,Crime|Drama|Mystery|Thriller,en,2001-03-30,0.280083,1000000,852206,119.0,7.3,4,Released,2001.0
Bubble Boy,Adventure|Comedy|Drama|Romance,en,2001-08-24,10.131123,0,0,84.0,5.1,163,Released,2001.0
Buffalo Soldiers,Drama|Comedy|War|Crime|Thriller,en,2001-09-08,6.329672,15000000,0,98.0,6.5,93,Released,2001.0
Bully,Crime|Drama,en,2001-06-15,6.677093,0,480811,113.0,6.7,125,Released,2001.0
Dr. Dolittle 2,Comedy|Family|Romance|Fantasy,en,2001-06-22,13.543053,70000000,176104344,87.0,4.9,410,Released,2001.0
Final Fantasy: The Spirits Within,Adventure|Action|Animation|Fantasy|Science Fiction|Thriller,en,2001-07-02,26.074908,137000000,85131830,106.0,5.9,433,Released,2001.0
Freddy Got Fingered,Comedy,en,2001-04-18,8.710294,0,0,87.0,4.6,115,Released,2001.0
Harvard Man,Drama,en,2001-01-01,5.336243,0,0,99.0,4.8,15,Released,2001.0
High Heels and Low Lifes,Action|Crime|Comedy,en,2001-07-16,1.769593,0,0,86.0,6.4,12,Released,2001.0
I Am Sam,Drama,en,2001-12-28,26.071644,22000000,92542418,132.0,7.2,530,Released,2001.0
Kissing Jessica Stein,Comedy,en,2001-04-21,3.990215,1000000,10013424,97.0,5.9,48,Released,2001.0
Legally Blonde,Comedy,en,2001-07-13,25.43954,18000000,141774679,96.0,6.1,882,Released,2001.0
Lovely & Amazing,Comedy|Drama|Romance,en,2001-08-31,1.45917,250000,4186931,91.0,6.3,23,Released,2001.0
Nowhere in Africa,Drama,de,2001-12-11,3.481517,0,0,140.0,7.0,32,Released,2001.0
O,Drama|Romance|Thriller,en,2001-08-31,4.146752,0,16017403,95.0,5.8,75,Released,2001.0
On the Line,Comedy|Family|Romance,en,2001-10-26,3.084874,0,0,85.0,4.1,10,Released,2001.0
Out Cold,Comedy,en,2001-11-21,4.12064,24000000,14782676,89.0,5.8,53,Released,2001.0
Riding in Cars with Boys,Comedy|Drama|Romance,en,2001-10-19,7.226115,48000000,35743308,132.0,6.5,103,Released,2001.0
Shaolin Soccer,Action|Comedy,cn,2001-07-12,17.54768,0,42776760,113.0,6.6,491,Released,2001.0
Super Troopers,Comedy|Crime|Mystery,en,2001-01-18,16.312803,3000000,18492362,100.0,6.6,362,Released,2001.0
Swordfish,Action|Crime|Thriller,en,2001-06-07,36.788745,102000000,147080413,99.0,6.1,932,Released,2001.0
The 51st State,Thriller|Action|Comedy|Crime,en,2001-12-07,9.670031,28,14,93.0,5.9,173,Released,2001.0
The Believer,Drama,en,2001-01-19,9.856826,1500000,416925,98.0,6.8,151,Released,2001.0
The Business of Strangers,Drama|Thriller,en,2001-01-19,1.369649,0,0,84.0,5.7,19,Released,2001.0
The Fast and the Furious,Action|Crime|Thriller,en,2001-06-22,6.909942,38000000,207283925,106.0,6.6,3428,Released,2001.0
The Lost Skeleton of Cadavra,Comedy|Horror|Science Fiction,en,2001-09-12,1.680525,0,0,90.0,6.5,30,Released,2001.0
The Mummy Returns,Adventure|Action|Fantasy,en,2001-04-28,41.862983,98000000,433013274,130.0,6.0,2206,Released,2001.0
Thir13en Ghosts,Horror|Thriller,en,2001-10-26,20.392858,0,0,91.0,5.4,440,Released,2001.0
Tomcats,Comedy|Romance,en,2001-03-30,7.063053,11000000,23430766,95.0,4.9,74,Released,2001.0
Two Can Play That Game,Comedy|Romance,en,2001-09-07,2.27213,6000000,0,90.0,6.6,17,Released,2001.0
Valentine,Horror|Thriller,en,2001-02-01,5.904126,0,0,96.0,5.0,114,Released,2001.0
Winged Migration,Documentary,fr,2001-12-12,3.75074,35866397,20217080,98.0,7.0,49,Released,2001.0
Y Tu Mamá También,Drama|Romance,es,2001-06-08,16.890285,5000000,33616692,106.0,7.3,315,Released,2001.0
Zoolander,Comedy,en,2001-09-28,38.0958,28000000,60780981,89.0,6.1,1337,Released,2001.0
8 Women,Comedy|Thriller|Music|Crime|Mystery,fr,2002-01-08,8.204829,8000000,0,111.0,6.9,196,Released,2002.0
All About the Benjamins,Action|Adventure|Comedy,en,2002-03-08,5.102258,14000000,25482931,95.0,5.8,48,Released,2002.0
Ararat,War|Drama,en,2002-05-20,1.326264,0,0,115.0,5.7,16,Released,2002.0
Bad Company,Action|Adventure|Comedy|Thriller,en,2002-06-07,14.086292,70000000,65977295,116.0,5.4,228,Released,2002.0
Ballistic: Ecks vs. Sever,Action|Adventure|Thriller,en,2002-09-20,8.37378,70000000,19924033,91.0,4.3,97,Released,2002.0
Blue Car,Drama,en,2002-01-11,0.672695,1000000,464000,92.0,6.7,13,Released,2002.0
Changing Lanes,Action|Adventure|Crime|Thriller,en,2002-04-07,17.270539,45000000,94935764,89.0,5.9,299,Released,2002.0
Chicago,Action|Comedy|Crime|Drama|Music,en,2002-12-26,32.217425,45000000,306776732,113.0,6.9,677,Released,2002.0
City of God,Drama|Crime,pt,2002-02-05,44.356711,3300000,30641770,130.0,8.1,1814,Released,2002.0
Cypher,Thriller|Science Fiction|Mystery,en,2002-10-01,11.636883,7500000,0,95.0,6.7,192,Released,2002.0
Death to Smoochy,Comedy|Crime|Drama|Thriller,en,2002-03-28,11.329727,55000000,0,109.0,5.9,132,Released,2002.0
FearDotCom,Horror|Thriller,en,2002-08-09,6.756886,40000000,18902015,101.0,3.2,105,Released,2002.0
Frida,Drama|Romance,en,2002-08-29,18.422327,12000000,56298474,123.0,7.3,383,Released,2002.0
Hart's War,Drama|War,en,2002-02-15,14.244518,70000000,32287044,125.0,5.9,241,Released,2002.0
High Crimes,Drama|Mystery|Thriller|Crime,en,2002-04-03,14.046705,42000000,63781810,115.0,6.1,184,Released,2002.0
I Spy,Action|Adventure|Comedy|Thriller,en,2002-10-31,13.267631,70000000,33561137,97.0,5.2,269,Released,2002.0
Insomnia,Crime|Mystery|Thriller,en,2002-05-24,41.322708,46000000,113714830,118.0,6.8,1148,Released,2002.0
Lilya 4-ever,Crime|Drama,sv,2002-08-23,7.759215,0,0,109.0,7.7,139,Released,2002.0
Men in Black II,Action|Adventure|Comedy|Science Fiction,en,2002-07-03,91.332849,140000000,441818803,88.0,6.0,3114,Released,2002.0
Mr. Deeds,Comedy|Romance,en,2002-06-28,18.121404,50000000,171269535,96.0,5.6,644,Released,2002.0
My Big Fat Greek Wedding,Comedy|Drama|Romance,en,2002-02-22,18.115566,5000000,368744044,95.0,6.2,671,Released,2002.0
Narc,Action|Crime|Drama|Thriller,en,2002-01-14,8.526635,6500000,12633747,105.0,6.8,142,Released,2002.0
Panic Room,Crime|Drama|Thriller,en,2002-03-29,53.043124,48000000,196397415,111.0,6.5,1267,Released,2002.0
Punch-Drunk Love,Comedy|Drama|Romance,en,2002-10-25,15.960916,25000000,17000000,95.0,6.9,530,Released,2002.0
Raising Victor Vargas,Drama|Romance,en,2002-05-16,3.643662,800000,2816116,88.0,7.8,13,Released,2002.0
Red Dragon,Crime|Thriller|Horror,en,2002-09-29,10.083905,78000000,209196298,124.0,6.7,1115,Released,2002.0
Reign of Fire,Adventure|Action|Fantasy,en,2002-07-12,27.615108,60000000,43061982,101.0,6.0,669,Released,2002.0
Salton Sea,Drama|Mystery|Thriller,en,2002-01-01,10.991281,18000000,676698,103.0,7.0,104,Released,2002.0
Scooby-Doo,Mystery|Adventure|Comedy,en,2002-06-14,31.435539,84000000,275650703,88.0,5.4,820,Released,2002.0
Secretary,Comedy|Drama|Romance,en,2002-01-11,19.107285,4000000,9304609,104.0,6.7,376,Released,2002.0
Star Wars: Episode II - Attack of the Clones,Adventure|Action|Science Fiction,en,2002-05-15,43.987061,120000000,649398328,142.0,6.4,3992,Released,2002.0
Swimfan,Drama|Thriller,en,2002-09-06,4.844451,8500000,34411240,84.0,5.0,70,Released,2002.0
The Banger Sisters,Comedy|Drama,en,2002-09-20,6.015354,10000000,0,98.0,5.5,62,Released,2002.0
The Business of Fancydancing,Music|Drama,en,2002-01-14,0.06104,200000,0,103.0,8.0,2,Released,2002.0
The Count of Monte Cristo,Action|Adventure|Drama|Thriller,en,2002-01-23,26.595983,35000000,75395048,131.0,7.3,453,Released,2002.0
The Crime of Padre Amaro,Drama|Romance,es,2002-10-01,2.179428,1800000,0,118.0,6.2,36,Released,2002.0
The Four Feathers,War|Adventure|Drama|Romance,en,2002-09-08,10.10364,35000000,29882645,132.0,6.5,159,Released,2002.0
The Good Girl,Drama|Comedy|Romance,en,2002-01-12,9.799177,8000000,16856124,93.0,6.1,181,Released,2002.0
The Jimmy Show,Comedy|Drama,en,2002-01-16,0.098351,0,0,96.0,8.0,1,Released,2002.0
The Mothman Prophecies,Drama|Horror|Mystery,en,2002-01-25,14.733513,32000000,55157539,119.0,6.1,305,Released,2002.0
The Quiet American,Drama|Action|Thriller|Romance,en,2002-11-22,5.133744,30000000,27674124,101.0,6.4,81,Released,2002.0
The Spanish Apartment,Drama|Comedy|Romance,fr,2002-05-17,13.034602,5300000,3897799,122.0,7.0,266,Released,2002.0
Treasure Planet,Adventure|Animation|Family|Fantasy|Science Fiction,en,2002-11-26,38.924136,140000000,109578115,95.0,7.2,948,Released,2002.0
xXx,Action|Adventure|Thriller,en,2002-08-09,46.217769,70000000,277448382,124.0,5.8,1424,Released,2002.0
11:14,Crime|Drama|Thriller,en,2003-05-16,15.048067,6000000,0,86.0,6.8,206,Released,2003.0
Agent Cody Banks,Action,en,2003-03-14,11.859396,28000000,58795814,102.0,5.0,284,Released,2003.0
American Splendor,Comedy|Drama,en,2003-08-15,7.792851,0,6003587,101.0,7.1,120,Released,2003.0
Darkness Falls,Thriller|Horror,en,2003-01-24,11.199544,0,0,86.0,4.9,161,Released,2003.0
Dickie Roberts: Former Child Star,Comedy,en,2003-09-05,10.149569,0,0,98.0,5.1,64,Released,2003.0
Evil Words,Horror|Mystery|Thriller,fr,2003-10-03,0.205034,0,0,100.0,6.9,8,Released,2003.0
Gigli,Drama,en,2003-08-01,9.053456,54000000,7266209,121.0,3.5,104,Released,2003.0
Gothika,Horror|Thriller,en,2003-11-21,27.303608,40000000,141591324,98.0,5.8,629,Released,2003.0
Grand Theft Parsons,Crime|Comedy|Drama|Adventure,en,2003-06-18,1.998557,0,0,88.0,6.0,11,Released,2003.0
Holes,Adventure|Family|Drama|Comedy,en,2003-04-18,22.001408,20000000,0,117.0,6.7,383,Released,2003.0
House of Sand and Fog,Drama,en,2003-12-19,12.102725,16500000,16942795,126.0,7.0,199,Released,2003.0
Intolerable Cruelty,Crime|Comedy|Romance,en,2003-09-02,22.620125,60000000,119940815,100.0,5.8,391,Released,2003.0
Jeepers Creepers 2,Horror|Thriller,en,2003-08-08,19.045146,17000000,63102666,104.0,5.5,299,Released,2003.0
Kangaroo Jack,Comedy|Adventure|Crime,en,2003-01-17,10.292864,0,0,89.0,4.3,203,Released,2003.0
Kill Bill: Vol. 1,Action|Crime,en,2003-10-10,79.754966,30000000,180949000,111.0,7.7,4949,Released,2003.0
"Legally Blonde 2: Red, White & Blonde",Comedy,en,2003-07-02,4.340616,45000000,124914842,95.0,5.1,377,Released,2003.0
Marci X,Comedy,en,2003-08-22,5.65327,20000000,1675706,84.0,3.3,12,Released,2003.0
Nothing,Comedy|Fantasy|Science Fiction,en,2003-09-09,3.408955,0,0,90.0,5.8,38,Released,2003.0
Party Monster,Comedy|Drama|Crime,en,2003-09-05,4.129165,5000000,742898,98.0,5.9,58,Released,2003.0
Pieces of April,Comedy|Drama,en,2003-01-19,4.270596,300000,0,81.0,6.4,64,Released,2003.0
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Fantasy|Action,en,2003-07-09,271.972889,140000000,655011224,143.0,7.5,6985,Released,2003.0
"Remember Me, My Love",Drama|Comedy|Romance,it,2003-02-11,4.240495,0,0,125.0,5.8,44,Released,2003.0
Saints and Soldiers,Action|Adventure|Drama|History|War,en,2003-09-11,6.003418,780000,0,90.0,6.6,98,Released,2003.0
Scary Movie 3,Comedy,en,2003-10-24,36.585509,48000000,220673217,84.0,5.8,912,Released,2003.0
Something's Gotta Give,Drama|Comedy|Romance,en,2003-12-12,16.939441,80000000,266728738,128.0,6.3,410,Released,2003.0
Terminator 3: Rise of the Machines,Action|Thriller|Science Fiction,en,2003-07-02,69.405188,200000000,435000000,109.0,5.9,2143,Released,2003.0
The League of Extraordinary Gentlemen,Fantasy|Action|Thriller|Science Fiction,en,2003-07-11,47.436675,78000000,179265204,110.0,5.7,1155,Released,2003.0
The Rundown,Adventure|Action|Comedy|Thriller,en,2003-09-26,24.107835,85000000,80916492,104.0,6.4,514,Released,2003.0
The Statement,Drama|Thriller,en,2003-12-12,2.653988,0,0,120.0,5.9,23,Released,2003.0
The Visual Bible: The Gospel of John,Drama|History,en,2003-09-11,3.208172,10000000,4069090,125.0,8.2,12,Released,2003.0
Thirteen,Crime|Drama,en,2003-08-20,20.331593,2000000,4601043,100.0,6.7,339,Released,2003.0
Travellers and Magicians,Adventure|Drama|Foreign,en,2003-09-09,0.749699,0,0,108.0,6.8,9,Released,2003.0
X2,Adventure|Action|Science Fiction|Thriller,en,2003-04-24,2.871739,110000000,407711549,133.0,6.8,3506,Released,2003.0
2046,Fantasy|Drama|Science Fiction|Romance,zh,2004-05-20,12.664787,12000000,19271312,129.0,6.9,206,Released,2004.0
AVP: Alien vs. Predator,Adventure|Science Fiction|Action,en,2004-08-12,42.957216,70000000,171183863,101.0,5.5,1217,Released,2004.0
Alfie,Comedy,en,2004-10-22,15.219263,60000000,13395939,103.0,5.6,248,Released,2004.0
Anchorman: The Legend of Ron Burgundy,Comedy,en,2004-07-09,29.342744,26000000,90574188,94.0,6.7,1493,Released,2004.0
Breakin' All the Rules,Comedy|Romance,en,2004-05-14,6.904734,0,0,85.0,5.8,21,Released,2004.0
Cellular,Action|Adventure|Crime|Thriller,en,2004-09-06,24.459948,25000000,56422687,94.0,6.1,537,Released,2004.0
Closer,Drama|Romance,en,2004-12-01,22.636908,27000000,115505027,104.0,6.7,811,Released,2004.0
Club Dread,Comedy|Horror,en,2004-02-27,2.62082,8500000,5001655,104.0,5.1,107,Released,2004.0
Connie and Carla,Comedy,en,2004-04-16,6.102663,20000000,11341016,98.0,6.4,24,Released,2004.0
Downfall,Drama|History|War,de,2004-09-08,32.445895,18339750,92180910,156.0,7.7,1037,Released,2004.0
Envy,Comedy,en,2004-04-30,9.842771,40000000,0,99.0,4.8,139,Released,2004.0
EuroTrip,Comedy,en,2004-02-20,25.848003,25000000,20796847,93.0,6.5,656,Released,2004.0
Flight of the Phoenix,Action|Adventure|Drama|Thriller,en,2004-12-17,20.374308,45000000,21009180,113.0,5.7,276,Released,2004.0
Freeze Frame,Thriller|Drama|Crime,en,2004-05-01,4.922397,0,0,99.0,6.9,18,Released,2004.0
Garfield,Animation|Comedy|Family,en,2004-06-10,17.667826,50000000,200804534,80.0,5.2,820,Released,2004.0
Harry Potter and the Prisoner of Azkaban,Adventure|Fantasy|Family,en,2004-05-31,79.679601,130000000,789804554,141.0,7.7,5877,Released,2004.0
House of Flying Daggers,Adventure|Drama|Action|Romance,zh,2004-05-19,21.064082,0,92863945,119.0,7.1,439,Released,2004.0
Imaginary Heroes,Comedy|Drama,en,2004-09-14,2.85283,10000000,0,111.0,6.3,29,Released,2004.0
Johnson Family Vacation,Comedy|Family,en,2004-04-07,4.623609,12000000,31179516,97.0,4.7,30,Released,2004.0
Little Black Book,Comedy|Romance|Drama,en,2004-08-06,6.246199,35000000,22034832,111.0,5.2,112,Released,2004.0
Live-In Maid,Drama|Foreign,en,2004-09-21,0.038706,0,0,83.0,7.8,3,Released,2004.0
